timestamp,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8,label
0,-1,0.999976447,-0.748738206,-1,0.994352675,0,-1,-0.642857143,1.000046147,1,0.56641514,0.998434102,2.146645866,-1,-0.76567562,-1,-0.467745041,-0.059837386,-1,-0.333328822,0.999425926,-1,0.941907395,-1,-1,-1.001156633,-0.826086957,
1,-1,0.999976447,-0.748738206,-1,0.993787943,0,-1,-0.964285714,1.000046147,1,0.280475722,0.997912136,2.146645866,-1,-0.764035268,-0.999214058,-0.467205854,-0.059237888,-1,-0.333328822,0.999296296,-1,0.944195506,-1,-1,-1.001156633,-0.869565217,
2,-1,0.999976447,-0.748738206,-1,0.994352675,0,-1,-0.785714286,1.000046147,1,-1.225863889,1.000521966,2.146645866,-1,-0.762394915,-0.998428116,-0.467128827,-0.059162951,-1,-0.333328822,0.999611111,-1,0.943750596,0.95279963,0.983734834,-1.001156633,-0.869565217,
3,-1,0.999976447,-0.748738206,-1,0.993505577,0,-1,-0.892857143,1.000046147,1,-0.418766109,0.998086124,2.151326053,-1,-0.760754562,-0.997642174,-0.46658964,-0.058563453,-1,-0.333328822,0.9995,-1,0.941081133,0.951874132,-1,-1.001156633,-0.782608696,
4,-1,0.999976447,-0.748738206,-1,0.994352675,0,-1,-0.964285714,1.000046147,1,0.714042633,0.998434102,2.163806552,-1,-0.75911421,-0.996856232,-0.451646447,-0.056015587,-1,-1,0.999518519,-1,0.94165316,-1,-1,-1.001156633,-0.869565217,
5,-1,0.999976447,-0.748738206,-1,0.993505577,-1,-1,-0.857142857,1.000046147,1,0.476368257,0.998956068,2.173166927,-1,-0.757473857,-0.996070289,-0.450645099,-0.055191277,-1,-0.333328822,0.9995,-1,0.940826898,-1,0.983734834,-1.001156633,-0.695652174,
6,-1,0.999976447,-0.748738206,-1,0.993505577,0,-1,-0.964285714,1.000046147,1,0.566630529,0.998260113,2.177847114,-1,-0.755833504,-0.995284347,-0.44871943,-0.053992281,-1,-0.333328822,0.999444444,-1,0.943432803,0.950023137,0.970371022,-1.001156633,-0.913043478,
7,-1,0.999976447,-0.748738206,-1,0.993505577,0,-1,-0.964285714,1.000046147,1,0.565334607,0.99739017,2.182527301,-1,-0.754193152,-0.994498405,-0.983362218,-0.762224137,-1,-0.333328822,0.999574074,-1,0.945975149,0.94909764,0.99498857,-1.001156633,-0.826086957,
8,-1,0.999976447,-0.748738206,-1,0.992376112,0,-1,-0.964285714,1.000046147,1,0.565356145,0.99739017,2.187207488,-1,-0.752552799,-0.993712463,-0.98189871,-0.76132489,-1,-0.333328822,0.999425926,-1,0.940954015,0.94909764,0.99498857,-1.001156633,-1,
9,-1,0.795798201,-1.093981889,-1,0.991811379,0,-1,-0.964285714,1.000046147,1,0.565223322,0.997738147,2.193447738,-1,-0.750912446,-0.992926521,-0.978971693,-0.760050957,-1,-0.333328822,0.999574074,-1,0.940318429,0.94909764,0.99498857,-1.001156633,-0.956521739,
